Prioridade,Categoria,Texto,Slug,Arquivo_Neutral,Tipo,Severidade,Referencia_Codigo
ALTA,Status Geral,Execução correta!,execucao-correta,execucao-correta__neutral.mp3,success,low,FeedbackSystem.ts:468
ALTA,Status Geral,Movimento incorreto,movimento-incorreto,movimento-incorreto__neutral.mp3,error,high,FeedbackSystem.ts:475
ALTA,Posição Tempo Real,Profundidade ideal - agora suba,profundidade-ideal-agora-suba,profundidade-ideal-agora-suba__neutral.mp3,info,low,SquatBodyweightValidator.ts:528
ALTA,Posição Tempo Real,Desça mais - atinja o paralelo,desca-mais-atinja-o-paralelo,desca-mais-atinja-o-paralelo__neutral.mp3,warning,high,SquatBodyweightValidator.ts:525
ALTA,Posição Tempo Real,Posição inicial correta - pronto para agachar,posicao-inicial-correta-pronto-para-agachar,posicao-inicial-correta-pronto-para-agachar__neutral.mp3,info,low,SquatBodyweightValidator.ts:518
ALTA,Repetições,Repetição válida #1!,repeticao-valida-1,repeticao-valida-1__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #2!,repeticao-valida-2,repeticao-valida-2__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #3!,repeticao-valida-3,repeticao-valida-3__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #4!,repeticao-valida-4,repeticao-valida-4__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #5!,repeticao-valida-5,repeticao-valida-5__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #6!,repeticao-valida-6,repeticao-valida-6__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #7!,repeticao-valida-7,repeticao-valida-7__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #8!,repeticao-valida-8,repeticao-valida-8__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #9!,repeticao-valida-9,repeticao-valida-9__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Repetições,Repetição válida #10!,repeticao-valida-10,repeticao-valida-10__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
ALTA,Controle Tronco,Tronco muito inclinado à frente - mantenha a coluna neutra,tronco-muito-inclinado-a-frente-mantenha-a-coluna-neutra,tronco-muito-inclinado-a-frente-mantenha-a-coluna-neutra__neutral.mp3,warning,high,SquatBodyweightValidator.ts:315
ALTA,Distância Pés,Pés muito próximos - abra mais as pernas,pes-muito-proximos-abra-mais-as-pernas,pes-muito-proximos-abra-mais-as-pernas__neutral.mp3,warning,high,SquatBodyweightValidator.ts:416
ALTA,Distância Pés,Pés muito afastados - aproxime as pernas,pes-muito-afastados-aproxime-as-pernas,pes-muito-afastados-aproxime-as-pernas__neutral.mp3,warning,high,SquatBodyweightValidator.ts:430
MEDIA,Simetria Bilateral,Assimetria de joelhos - joelho esquerdo mais baixo,assimetria-de-joelhos-joelho-esquerdo-mais-baixo,assimetria-de-joelhos-joelho-esquerdo-mais-baixo__neutral.mp3,warning,high,SquatBodyweightValidator.ts:378
MEDIA,Simetria Bilateral,Assimetria de joelhos - joelho direito mais baixo,assimetria-de-joelhos-joelho-direito-mais-baixo,assimetria-de-joelhos-joelho-direito-mais-baixo__neutral.mp3,warning,high,SquatBodyweightValidator.ts:378
MEDIA,Controle Tronco,Tronco inclinado para a direita - mantenha ombros nivelados,tronco-inclinado-para-a-direita-mantenha-ombros-nivelados,tronco-inclinado-para-a-direita-mantenha-ombros-nivelados__neutral.mp3,warning,high,SquatBodyweightValidator.ts:295
MEDIA,Controle Tronco,Tronco inclinado para a esquerda - mantenha ombros nivelados,tronco-inclinado-para-a-esquerda-mantenha-ombros-nivelados,tronco-inclinado-para-a-esquerda-mantenha-ombros-nivelados__neutral.mp3,warning,high,SquatBodyweightValidator.ts:295
MEDIA,Posição Tempo Real,Ajuste a posição - prepare-se para descer,ajuste-a-posicao-prepare-se-para-descer,ajuste-a-posicao-prepare-se-para-descer__neutral.mp3,info,medium,SquatBodyweightValidator.ts:515
MEDIA,Repetições,Repetição válida #11!,repeticao-valida-11,repeticao-valida-11__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #12!,repeticao-valida-12,repeticao-valida-12__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #13!,repeticao-valida-13,repeticao-valida-13__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #14!,repeticao-valida-14,repeticao-valida-14__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #15!,repeticao-valida-15,repeticao-valida-15__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #16!,repeticao-valida-16,repeticao-valida-16__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #17!,repeticao-valida-17,repeticao-valida-17__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #18!,repeticao-valida-18,repeticao-valida-18__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #19!,repeticao-valida-19,repeticao-valida-19__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,Repetições,Repetição válida #20!,repeticao-valida-20,repeticao-valida-20__neutral.mp3,success,success,SquatBodyweightValidator.ts:485
MEDIA,ML Híbrido,Padrão atípico detectado pelo ML,padrao-atipico-detectado-pelo-ml,padrao-atipico-detectado-pelo-ml__neutral.mp3,info,low,FeedbackSystem.ts:509
BAIXA,Controle Tronco,Tronco estável e alinhado,tronco-estavel-e-alinhado,tronco-estavel-e-alinhado__neutral.mp3,success,low,SquatBodyweightValidator.ts:333
BAIXA,Simetria Bilateral,Simetria bilateral mantida,simetria-bilateral-mantida,simetria-bilateral-mantida__neutral.mp3,success,low,SquatBodyweightValidator.ts:394
BAIXA,Distância Pés,Distância entre pernas correta,distancia-entre-pernas-correta,distancia-entre-pernas-correta__neutral.mp3,success,low,SquatBodyweightValidator.ts:443
BAIXA,Repetições,Excelente! Movimento completo detectado,excelente-movimento-completo-detectado,excelente-movimento-completo-detectado__neutral.mp3,success,success,SquatBodyweightValidator.ts:489
BAIXA,Sistema,Marcos não visíveis o suficiente para avaliar,marcos-nao-visiveis-o-suficiente-para-avaliar,marcos-nao-visiveis-o-suficiente-para-avaliar__neutral.mp3,error,critical,SquatBodyweightValidator.ts:89
